329.27,1186.4,1
339.97,876.07,1
396.97,1219.9,1
559.29,1341.9,1
314.64,988.83,1
500.92,1189.2,1
315.04,2378.8,1
500,1500,1
394.99,1479.6,1
500,1500,1
830.59,2267.7,1
312.33,1006.1,1
315.57,1050.3,1
312.23,2308.7,1
815.31,2489.7,1
398.09,1117.1,1
452.42,926.17,1
455.87,907.91,1
375.87,1125.6,1
500,1500,1
434.87,915.47,1
325.24,1886.2,1
500,1500,1
404.02,858.96,1
500,1500,1
398.42,1207.2,1
366.15,995.3,1
369.44,844.35,1
473.28,1108.6,1
520.96,1035.9,1
345.91,1145.5,1
445.88,857.74,1
500,1500,1
394.31,998.52,1
500,1500,1
500,1500,1
566.13,968.17,1
324.91,1080.4,1
277.02,842.58,1
305.13,943,1
373.5,1104.7,1
283.91,965.97,1
500,1500,1
372.45,815.82,1
436.81,849.73,1
500,1500,1
330.82,1323.6,1
381.19,1034.1,1
374.22,1127,1
348.09,1108.6,1
437.17,1019.5,1
566.69,1556.8,1
451.16,887.32,1
347.19,1112.1,1
500,1500,1
414.8,1553,1
393.71,1120,1
374.8,801.87,1
1069.5,2290.3,1
500,1500,1
301.55,792.49,1
397.12,1156.4,1
397.07,1066,1
245.37,768.21,1
211.42,572.78,1
380.52,855.07,1
500,1500,1
500,1500,1
500,1500,1
850.3,1225.8,1
205.73,890.14,1
389.55,925.1,1
357.88,1240.1,1
316.5,1130.4,1
500,1500,1
500,1500,1
348.64,1049.9,1
527.78,1180.9,1
345.58,1211.3,1
290.3,1115.3,1
392.01,1037.9,1
500,1500,1
304.79,831.09,1
290.43,791.39,1
388.9,1111.1,1
236.43,745.65,1
519.56,1115.3,1
429.36,999.63,1
435.63,770.23,1
425.17,1356.3,1
334.41,1950.2,1
248.81,1011.2,1
500,1500,1
366.36,808.52,1
500,1500,1
367.31,1345.5,1
362.35,1418.9,1
319.01,1228.8,1
322.47,1707.8,1
309.85,1008.7,1
806.98,2726,1
438.25,914.96,1
226.47,2065.4,1
303.97,1020,1
298.63,1056.5,1
293.81,911.54,1
294.69,1714.1,1
301.23,1265.8,1
395.4,2034.1,1
500,1500,1
300.68,1030.9,1
376.54,1225.8,1
381.34,847.39,1
389.66,1122.3,1
500,1500,1
384.2,1119.1,1
546.21,1239.2,1
420.95,1078.4,1
